diseases,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16
(Vertigo) Paroxysmal Positional Vertigo,dizziness,irregular_heartbeat,vomiting,weakness,frontal_headache,,,,,,,,,,,
(Vertigo) Paroxysmal Positional Vertigo,irregular_heartbeat,headache,problems_with_movement,frontal_headache,,,,,,,,,,,,
Acne,skin_swelling,skin_growth,irregular_appearing_scalp,skin_moles,long_menstrual_periods,skin_dryness_peeling_scaliness_or_roughness,,,,,,,,,,
Acne,skin_swelling,abnormal_appearing_skin,acne_or_pimples,long_menstrual_periods,skin_dryness_peeling_scaliness_or_roughness,skin_rash,,,,,,,,,,
AIDS,fever,muscle_weakness,throat_redness,,,,,,,,,,,,,
AIDS,fever,muscle_weakness,,,,,,,,,,,,,,
Alcoholic Hepatitis,abnormal_involuntary_movements,abusing_alcohol,sharp_abdominal_pain,stomach_bloating,,,,,,,,,,,,
Alcoholic Hepatitis,abnormal_involuntary_movements,abusing_alcohol,sharp_abdominal_pain,weight_gain,stomach_bloating,,,,,,,,,,,
Allergy,cough,skin_swelling,abnormal_appearing_skin,fluid_retention,swollen_eye,itching_of_skin,skin_rash,,,,,,,,,
Allergy,lip_swelling,abnormal_appearing_skin,itchiness_of_eye,allergic_reaction,fluid_retention,swollen_eye,itching_of_skin,,,,,,,,,
Arthritis,pelvic_pain,knee_pain,problems_with_movement,ache_all_over,groin_pain,,,,,,,,,,,
Arthritis,hip_pain,back_pain,pelvic_pain,knee_pain,ache_all_over,lower_body_pain,joint_pain,hip_stiffness_or_tightness,,,,,,,,
Bronchial Asthma,shortness_of_breath,chest_tightness,wheezing,difficulty_breathing,coughing_up_sputum,allergic_reaction,,,,,,,,,,
Bronchial Asthma,wheezing,fever,difficulty_breathing,coughing_up_sputum,,,,,,,,,,,,
Cervical Spondylosis,dizziness,back_pain,neck_pain,weakness,,,,,,,,,,,,
Cervical Spondylosis,vaginal_itching,pain_during_intercourse,pelvic_pain,,,,,,,,,,,,,
Chickenpox,cough,pain_in_testicles,skin_rash,,,,,,,,,,,,,
Chickenpox,cough,itching_of_skin,skin_rash,,,,,,,,,,,,,
Chronic Cholestasis,jaundice,sharp_abdominal_pain,vomiting,lower_abdominal_pain,decreased_appetite,itching_of_skin,,,,,,,,,,
Chronic Cholestasis,jaundice,sharp_abdominal_pain,vomiting,nausea,lower_abdominal_pain,itching_of_skin,,,,,,,,,,
Common Cold,sore_throat,fever,coryza,,,,,,,,,,,,,
Common Cold,sore_throat,cough,nasal_congestion,vomiting,wheezing,chills,flu_like_syndrome,,,,,,,,,
Dengue,feeling_ill,headache,nausea,pain_in_eye,back_pain,muscle_pain,decreased_appetite,fever,joint_pain,chills,fatigue,skin_rash,,,,
Dengue,feeling_ill,vomiting,headache,nausea,pain_in_eye,back_pain,muscle_pain,decreased_appetite,fever,chills,fatigue,skin_rash,,,,
Diabetes,frequent_urination,diminished_vision,restlessness,weight_gain,excessive_appetite,fatigue,,,,,,,,,,
Diabetes,weight_gain,thirst,,,,,,,,,,,,,,
Dimorphic Hemorrhoids (piles),sharp_abdominal_pain,heartburn,changes_in_stool_appearance,melena,rectal_bleeding,constipation,itching_of_the_anus,,,,,,,,,
Dimorphic Hemorrhoids (piles),sharp_abdominal_pain,pain_of_the_anus,heartburn,lower_body_pain,constipation,,,,,,,,,,,
Drug Reaction,shortness_of_breath,throat_swelling,nausea,itching_of_skin,,,,,,,,,,,,
Drug Reaction,shortness_of_breath,dizziness,headache,nausea,abnormal_appearing_skin,peripheral_edema,allergic_reaction,itching_of_skin,skin_rash,,,,,,,
Fungal Infection of the Hair,abnormal_appearing_skin,skin_lesion,skin_growth,pelvic_pain,skin_irritation,itchy_scalp,,,,,,,,,,
Fungal Infection of the Hair,acne_or_pimples,pelvic_pain,skin_dryness_peeling_scaliness_or_roughness,skin_irritation,skin_rash,,,,,,,,,,,
Fungal Infection of the Skin,abnormal_appearing_skin,skin_lesion,acne_or_pimples,irregular_appearing_scalp,skin_dryness_peeling_scaliness_or_roughness,itchy_scalp,skin_rash,,,,,,,,,
Fungal Infection of the Skin,acne_or_pimples,irregular_appearing_scalp,too_little_hair,,,,,,,,,,,,,
GERD,sharp_chest_pain,chest_tightness,hoarse_voice,cough,difficulty_in_swallowing,sharp_abdominal_pain,nausea,regurgitation,,,,,,,,
GERD,cough,difficulty_in_swallowing,,,,,,,,,,,,,,
Heart Attack,sharp_chest_pain,irregular_heartbeat,nausea,heartburn,,,,,,,,,,,,
Heart Attack,shortness_of_breath,sharp_chest_pain,irregular_heartbeat,nausea,arm_pain,increased_heart_rate,sweating,,,,,,,,,
Hypertension,dizziness,headache,,,,,,,,,,,,,,
Hypertension,sharp_chest_pain,dizziness,chest_tightness,,,,,,,,,,,,,
Hyperthyroidism,throat_feels_tight,difficulty_in_swallowing,neck_mass,,,,,,,,,,,,,
Hyperthyroidism,lump_in_throat,throat_feels_tight,difficulty_in_swallowing,,,,,,,,,,,,,
Hypoglycemia,nausea,weakness,decreased_appetite,seizures,sleepiness,,,,,,,,,,,
Hypoglycemia,dizziness,fainting,feeling_ill,sleepiness,sweating,,,,,,,,,,,
Hypothyroidism,depression,dizziness,peripheral_edema,neck_swelling,weight_gain,feeling_cold,fatigue,temper_problems,absence_of_menstruation,irregular_appearing_nails,infrequent_menstruation,,,,,
Hypothyroidism,weight_gain,,,,,,,,,,,,,,,
Impetigo,cough,skin_rash,,,,,,,,,,,,,,
Impetigo,cough,skin_swelling,abnormal_appearing_skin,skin_lesion,fever,,,,,,,,,,,
Infectious Gastroenteritis,sharp_abdominal_pain,vomiting,headache,nausea,burning_abdominal_pain,decreased_appetite,,,,,,,,,,
Infectious Gastroenteritis,blood_in_stool,sharp_abdominal_pain,headache,diarrhea,fluid_retention,flu_like_syndrome,,,,,,,,,,
Intracerebral Hemorrhage (paralysis),vomiting,headache,weakness,focal_weakness,,,,,,,,,,,,
Intracerebral Hemorrhage (paralysis),dizziness,headache,diminished_vision,seizures,,,,,,,,,,,,
Intracranial Hemorrhage (paralysis),depressive_or_psychotic_symptoms,vomiting,headache,diminished_vision,seizures,,,,,,,,,,,
Intracranial Hemorrhage (paralysis),abnormal_involuntary_movements,difficulty_speaking,vomiting,diminished_vision,,,,,,,,,,,,
Jaundice,lack_of_growth,vomiting,unusual_color_or_odor_to_urine,,,,,,,,,,,,,
Jaundice,lack_of_growth,sharp_abdominal_pain,vomiting,lower_abdominal_pain,recent_weight_loss,fever,unusual_color_or_odor_to_urine,fatigue,,,,,,,,
Liver Disease,shortness_of_breath,jaundice,nausea,diarrhea,peripheral_edema,,,,,,,,,,,
Liver Disease,shortness_of_breath,nausea,diarrhea,weakness,side_pain,unusual_color_or_odor_to_urine,,,,,,,,,,
Malaria,fainting,headache,knee_lump_or_mass,fever,,,,,,,,,,,,
Malaria,vomiting,headache,knee_lump_or_mass,muscle_pain,fever,chills,sweating,,,,,,,,,
Migraine,blindness,vomiting,headache,nausea,diminished_vision,spots_or_clouds_in_vision,,,,,,,,,,
Migraine,vomiting,spots_or_clouds_in_vision,symptoms_of_the_face,disturbance_of_memory,,,,,,,,,,,,
Noninfectious Gastroenteritis,sharp_abdominal_pain,vomiting,diarrhea,burning_abdominal_pain,decreased_appetite,rectal_bleeding,fluid_retention,,,,,,,,,
Noninfectious Gastroenteritis,vomiting,headache,nausea,diarrhea,fever,chills,rectal_bleeding,fluid_retention,,,,,,,,
Osteoarthritis,hip_pain,hand_or_finger_pain,knee_pain,ankle_pain,elbow_pain,muscle_pain,joint_pain,,,,,,,,,
Osteoarthritis,leg_pain,hip_pain,knee_pain,ankle_pain,knee_weakness,elbow_pain,knee_swelling,muscle_pain,joint_pain,,,,,,,
Peptic Ulcer Disease,sharp_chest_pain,blood_in_stool,sharp_abdominal_pain,vomiting,nausea,vomiting_blood,burning_abdominal_pain,heartburn,changes_in_stool_appearance,,,,,,,
Peptic Ulcer Disease,sharp_abdominal_pain,nausea,vomiting_blood,changes_in_stool_appearance,,,,,,,,,,,,
Pneumonia,sharp_chest_pain,cough,nasal_congestion,vomiting,wheezing,fever,difficulty_breathing,coryza,,,,,,,,
Pneumonia,shortness_of_breath,cough,nasal_congestion,wheezing,weakness,chills,coryza,,,,,,,,,
Psoriasis,skin_lesion,itching_of_skin,skin_dryness_peeling_scaliness_or_roughness,skin_rash,,,,,,,,,,,,
Psoriasis,abnormal_appearing_skin,skin_lesion,joint_pain,skin_rash,,,,,,,,,,,,
Tuberculosis,sharp_chest_pain,chest_tightness,hemoptysis,jaundice,coughing_up_sputum,vomiting,swollen_lymph_nodes,recent_weight_loss,decreased_appetite,fever,difficulty_breathing,chills,fatigue,sweating,,
Tuberculosis,cough,vaginal_itching,,,,,,,,,,,,,,
Typhoid,sharp_abdominal_pain,vomiting,nausea,diarrhea,lower_abdominal_pain,fever,chills,fatigue,constipation,,,,,,,
Typhoid,sharp_abdominal_pain,vomiting,headache,diarrhea,lower_abdominal_pain,fever,chills,fatigue,constipation,,,,,,,
Urinary Tract Infection,retention_of_urine,vomiting,lower_abdominal_pain,back_pain,,,,,,,,,,,,
Urinary Tract Infection,retention_of_urine,suprapubic_pain,frequent_urination,lower_abdominal_pain,blood_in_urine,,,,,,,,,,,
Varicose Veins,skin_lesion,peripheral_edema,leg_swelling,leg_cramps_or_spasms,ache_all_over,lymphedema,,,,,,,,,,
Varicose Veins,leg_pain,skin_lesion,leg_swelling,leg_cramps_or_spasms,ache_all_over,lymphedema,,,,,,,,,,
Viral Hepatitis,blood_in_stool,jaundice,sharp_abdominal_pain,vomiting,lower_abdominal_pain,decreased_appetite,fever,unusual_color_or_odor_to_urine,joint_pain,fatigue,,,,,,
Viral Hepatitis,jaundice,sharp_abdominal_pain,vomiting,nausea,lower_abdominal_pain,decreased_appetite,unusual_color_or_odor_to_urine,joint_pain,,,,,,,,
